Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
3,MLP-GR,94.7,92.99,96.71,94.81,94.7,94.69,0.04,0.99,0.89,Individual,Move Class
4,SGD-GR,85.4,81.93,91.01,86.2,85.4,85.34,0.1,0.96,0.71,Individual,Move Class
5,NB(B)-GR,94.19,92.96,95.66,94.28,94.19,94.19,0.05,0.99,0.88,Individual,Move Class
6,NB(G)-GR,72.74,65.5,97.16,78.19,72.74,70.83,0.27,0.96,0.52,Individual,Move Class
7,NB(M)-GR,88.8,84.75,94.8,89.47,88.8,88.75,0.19,0.95,0.78,Individual,Move Class
8,KNN-GR,94.88,94.47,95.36,94.91,94.88,94.88,0.04,0.98,0.9,Individual,Move Class
0,Stack-LR-GR,96.07,96.27,95.88,96.07,96.07,96.07,0.03,0.99,0.92,Stacking,Move Class
1,Stack-DT-GR,94.52,94.61,94.44,94.51,94.52,94.52,0.05,0.95,0.89,Stacking,Move Class
0,TBStack-LR-GR,96.73,97.21,96.23,96.71,96.73,96.73,0.02,1.0,0.93,TreeStacking,Move Class
1,TBStack-DT-GR,95.43,95.18,95.73,95.45,95.43,95.43,0.05,0.95,0.91,TreeStacking,Move Class
0,DT-GR,87.84,87.67,88.08,87.84,87.84,87.84,0.12,0.86,0.76,Individual,Rename Class
1,LR-GR,83.18,79.99,88.51,83.98,83.18,83.12,0.11,0.94,0.67,Individual,Rename Class
2,SVM-GR,85.92,84.05,88.75,86.27,85.92,85.9,0.1,0.95,0.72,Individual,Rename Class
3,MLP-GR,91.48,88.69,95.15,91.78,91.48,91.47,0.07,0.97,0.83,Individual,Rename Class
4,SGD-GR,83.54,80.76,88.08,84.19,83.54,83.49,0.11,0.94,0.68,Individual,Rename Class
5,NB(B)-GR,79.98,74.02,95.73,83.12,79.98,79.0,0.15,0.9,0.64,Individual,Rename Class
6,NB(G)-GR,67.12,60.72,96.99,74.68,67.12,63.87,0.32,0.94,0.43,Individual,Rename Class
7,NB(M)-GR,84.54,80.56,92.16,85.85,84.54,84.31,0.2,0.92,0.7,Individual,Rename Class
8,KNN-GR,89.64,88.32,91.44,89.8,89.64,89.63,0.08,0.95,0.79,Individual,Rename Class
0,Stack-LR-GR,91.4,89.77,93.5,91.56,91.4,91.4,0.07,0.97,0.83,Stacking,Rename Class
1,Stack-DT-GR,80.38,84.81,70.94,74.87,80.38,79.04,0.18,0.81,0.62,Stacking,Rename Class
0,TBStack-LR-GR,91.51,90.33,93.02,91.63,91.51,91.51,0.06,0.97,0.83,TreeStacking,Rename Class
1,TBStack-DT-GR,87.0,87.44,86.4,86.86,87.0,86.99,0.13,0.86,0.74,TreeStacking,Rename Class
0,DT-PCA,77.96,77.49,79.08,78.24,77.96,77.95,0.22,0.78,0.56,Individual,Extract Class
1,LR-PCA,77.0,73.02,86.16,78.99,77.0,76.76,0.15,0.85,0.55,Individual,Extract Class
2,SVM-PCA,78.14,74.62,85.73,79.73,78.14,77.98,0.15,0.86,0.57,Individual,Extract Class
3,MLP-PCA,83.67,80.05,90.21,84.74,83.67,83.57,0.12,0.91,0.68,Individual,Extract Class
4,SGD-PCA,76.19,72.86,84.13,77.99,76.19,75.97,0.16,0.84,0.53,Individual,Extract Class
5,NB(B)-PCA,72.99,71.71,76.5,73.96,72.99,72.92,0.18,0.79,0.46,Individual,Extract Class
6,NB(G)-PCA,75.82,70.4,89.46,78.76,75.82,75.32,0.22,0.8,0.54,Individual,Extract Class
7,KNN-PCA,79.96,75.95,88.15,81.54,79.96,79.79,0.15,0.86,0.61,Individual,Extract Class
0,Stack-LR-PCA,83.83,81.18,88.33,84.56,83.83,83.78,0.12,0.91,0.68,Stacking,Extract Class
1,Stack-DT-PCA,77.31,77.76,76.83,77.24,77.31,77.29,0.23,0.77,0.55,Stacking,Extract Class
0,TBStack-LR-PCA,83.73,80.78,88.78,84.55,83.73,83.67,0.12,0.91,0.68,TreeStacking,Extract Class
1,TBStack-DT-PCA,76.83,76.81,77.15,76.94,76.83,76.82,0.23,0.77,0.54,TreeStacking,Extract Class
0,DT-PCA,83.26,82.78,84.08,83.41,83.26,83.25,0.17,0.83,0.67,Individual,Extract Interface
1,LR-PCA,82.68,78.38,90.46,83.96,82.68,82.56,0.12,0.9,0.66,Individual,Extract Interface
2,SVM-PCA,83.68,79.89,90.19,84.71,83.68,83.61,0.12,0.91,0.68,Individual,Extract Interface
3,MLP-PCA,88.16,87.12,89.67,88.35,88.16,88.15,0.08,0.95,0.76,Individual,Extract Interface
4,SGD-PCA,82.09,78.31,88.93,83.26,82.09,81.99,0.13,0.89,0.65,Individual,Extract Interface
5,NB(B)-PCA,74.22,77.18,69.02,72.84,74.22,74.14,0.18,0.81,0.49,Individual,Extract Interface
6,NB(G)-PCA,65.14,60.27,91.0,72.42,65.14,62.33,0.26,0.85,0.35,Individual,Extract Interface
7,KNN-PCA,84.17,80.98,89.5,85.0,84.17,84.11,0.11,0.91,0.69,Individual,Extract Interface
0,Stack-LR-PCA,88.32,87.62,89.29,88.43,88.32,88.32,0.08,0.95,0.77,Stacking,Extract Interface
1,Stack-DT-PCA,82.33,82.85,81.56,82.12,82.33,82.31,0.18,0.82,0.65,Stacking,Extract Interface
0,TBStack-LR-PCA,88.22,86.82,90.19,88.46,88.22,88.21,0.08,0.95,0.77,TreeStacking,Extract Interface
1,TBStack-DT-PCA,82.9,82.78,83.21,82.96,82.9,82.89,0.17,0.83,0.66,TreeStacking,Extract Interface
0,DT-PCA,82.51,83.3,81.34,82.3,82.51,82.5,0.17,0.83,0.65,Individual,Extract Subclass
1,LR-PCA,82.75,78.05,91.15,84.08,82.75,82.63,0.12,0.9,0.66,Individual,Extract Subclass
2,SVM-PCA,85.26,81.06,92.03,86.19,85.26,85.19,0.11,0.92,0.71,Individual,Extract Subclass
