,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
4,TBStack-LR,PCA,97.86,97.36,98.38,97.87,97.86,97.86,0.02,0.99,0.96,TreeStacking,Rename Parameter
5,TBStack-LR,PCA,97.67,97.25,98.12,97.68,97.67,97.67,0.02,0.99,0.96,TreeStacking,Rename Parameter
6,TBStack-LR,PCA,97.92,97.46,98.42,97.93,97.92,97.92,0.02,0.99,0.96,TreeStacking,Rename Parameter
7,TBStack-LR,PCA,97.99,97.32,98.69,98,97.99,97.99,0.02,0.99,0.96,TreeStacking,Rename Parameter
8,TBStack-LR,PCA,97.84,97.32,98.4,97.85,97.84,97.84,0.02,0.99,0.96,TreeStacking,Rename Parameter
9,TBStack-LR,PCA,98.02,97.18,98.91,98.04,98.02,98.02,0.02,0.99,0.96,TreeStacking,Rename Parameter
10,TBStack-DT,PCA,96,96.41,95.55,95.98,96,96,0.04,0.96,0.92,TreeStacking,Rename Parameter
11,TBStack-DT,PCA,96.14,96.58,95.67,96.12,96.14,96.14,0.04,0.96,0.92,TreeStacking,Rename Parameter
12,TBStack-DT,PCA,96.17,96.51,95.8,96.15,96.17,96.17,0.04,0.96,0.92,TreeStacking,Rename Parameter
13,TBStack-DT,PCA,96.27,96.58,95.93,96.25,96.27,96.27,0.04,0.96,0.92,TreeStacking,Rename Parameter
14,TBStack-DT,PCA,96.25,96.65,95.83,96.23,96.25,96.25,0.04,0.96,0.92,TreeStacking,Rename Parameter
15,TBStack-DT,PCA,96,96.47,95.49,95.98,96,96,0.04,0.96,0.92,TreeStacking,Rename Parameter
16,TBStack-DT,PCA,96.11,96.62,95.57,96.09,96.11,96.11,0.04,0.96,0.92,TreeStacking,Rename Parameter
17,TBStack-DT,PCA,96.15,96.55,95.73,96.14,96.15,96.15,0.04,0.96,0.92,TreeStacking,Rename Parameter
18,TBStack-DT,PCA,96.25,96.73,95.74,96.23,96.25,96.25,0.04,0.96,0.92,TreeStacking,Rename Parameter
19,TBStack-DT,PCA,96.45,96.5,96.41,96.45,96.45,96.45,0.04,0.96,0.92,TreeStacking,Rename Parameter
0,Stack-LR,PCA,91.76,93.65,89.59,91.57,91.76,91.75,0.06,0.97,0.83,Stacking,Rename Variable
1,Stack-LR,PCA,91.77,92.53,90.86,91.69,91.77,91.77,0.06,0.97,0.83,Stacking,Rename Variable
2,Stack-LR,PCA,90.92,92.88,88.63,90.71,90.92,90.92,0.07,0.96,0.83,Stacking,Rename Variable
3,Stack-LR,PCA,92.05,93.25,90.66,91.93,92.05,92.04,0.06,0.97,0.83,Stacking,Rename Variable
4,Stack-LR,PCA,92.1,93.3,90.72,91.99,92.1,92.1,0.06,0.97,0.83,Stacking,Rename Variable
5,Stack-LR,PCA,91.13,93.03,88.92,90.93,91.13,91.12,0.07,0.96,0.83,Stacking,Rename Variable
6,Stack-LR,PCA,91.62,93.05,89.96,91.48,91.62,91.62,0.07,0.97,0.83,Stacking,Rename Variable
7,Stack-LR,PCA,91.44,93.1,89.52,91.28,91.44,91.44,0.07,0.97,0.83,Stacking,Rename Variable
8,Stack-LR,PCA,91.29,92.5,89.86,91.16,91.29,91.28,0.07,0.97,0.83,Stacking,Rename Variable
9,Stack-LR,PCA,91.95,93.77,89.87,91.78,91.95,91.95,0.06,0.97,0.83,Stacking,Rename Variable
10,Stack-DT,PCA,87.39,87.48,87.27,87.38,87.39,87.39,0.13,0.87,0.75,Stacking,Rename Variable
11,Stack-DT,PCA,87.89,87.15,88.9,88.01,87.89,87.89,0.12,0.88,0.75,Stacking,Rename Variable
12,Stack-DT,PCA,86.61,87.04,86.02,86.53,86.61,86.61,0.13,0.87,0.75,Stacking,Rename Variable
13,Stack-DT,PCA,87.44,87.48,87.4,87.44,87.44,87.44,0.13,0.87,0.75,Stacking,Rename Variable
14,Stack-DT,PCA,87.85,87.65,88.1,87.88,87.85,87.85,0.12,0.88,0.75,Stacking,Rename Variable
15,Stack-DT,PCA,86.66,87.79,85.15,86.45,86.66,86.65,0.13,0.87,0.75,Stacking,Rename Variable
16,Stack-DT,PCA,87.3,87.75,86.71,87.23,87.3,87.3,0.13,0.87,0.75,Stacking,Rename Variable
17,Stack-DT,PCA,87.04,87.58,86.32,86.95,87.04,87.04,0.13,0.87,0.75,Stacking,Rename Variable
18,Stack-DT,PCA,87.66,87.74,87.55,87.65,87.66,87.66,0.12,0.88,0.75,Stacking,Rename Variable
19,Stack-DT,PCA,87.85,87.32,88.56,87.93,87.85,87.85,0.12,0.88,0.75,Stacking,Rename Variable
0,TBStack-LR,PCA,97.08,96.62,97.57,97.09,97.08,97.08,0.02,0.99,0.94,TreeStacking,Rename Variable
1,TBStack-LR,PCA,97,96.22,97.84,97.02,97,97,0.02,0.99,0.94,TreeStacking,Rename Variable
2,TBStack-LR,PCA,96.41,96.31,96.52,96.42,96.41,96.41,0.03,0.99,0.94,TreeStacking,Rename Variable
3,TBStack-LR,PCA,97.15,96.52,97.83,97.17,97.15,97.15,0.02,0.99,0.94,TreeStacking,Rename Variable
4,TBStack-LR,PCA,97.2,96.22,98.27,97.23,97.2,97.2,0.02,0.99,0.94,TreeStacking,Rename Variable
5,TBStack-LR,PCA,96.33,96.05,96.64,96.34,96.33,96.33,0.03,0.99,0.94,TreeStacking,Rename Variable
6,TBStack-LR,PCA,96.94,96.54,97.38,96.96,96.94,96.94,0.02,0.99,0.94,TreeStacking,Rename Variable
7,TBStack-LR,PCA,96.98,96.08,97.96,97.01,96.98,96.98,0.02,0.99,0.94,TreeStacking,Rename Variable
8,TBStack-LR,PCA,96.91,96.16,97.72,96.94,96.91,96.91,0.02,0.99,0.94,TreeStacking,Rename Variable
9,TBStack-LR,PCA,97.07,96.29,97.91,97.09,97.07,97.07,0.02,0.99,0.94,TreeStacking,Rename Variable
10,TBStack-DT,PCA,94.74,95.51,93.89,94.69,94.74,94.74,0.05,0.95,0.89,TreeStacking,Rename Variable
11,TBStack-DT,PCA,94.68,95.01,94.31,94.66,94.68,94.68,0.05,0.95,0.89,TreeStacking,Rename Variable
