,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
14,Stack-DT,GR,96.93,96.33,97.58,96.95,96.93,96.93,0.03,0.97,0.93,Stacking,Rename Variable
15,Stack-DT,GR,96.6,96.85,96.34,96.59,96.6,96.6,0.03,0.97,0.93,Stacking,Rename Variable
16,Stack-DT,GR,96.63,96.25,97.04,96.64,96.63,96.63,0.03,0.97,0.93,Stacking,Rename Variable
17,Stack-DT,GR,96.69,96.44,96.95,96.7,96.69,96.69,0.03,0.97,0.93,Stacking,Rename Variable
18,Stack-DT,GR,96.68,96.65,96.71,96.68,96.68,96.68,0.03,0.97,0.93,Stacking,Rename Variable
19,Stack-DT,GR,96.77,96.24,97.35,96.79,96.77,96.77,0.03,0.97,0.93,Stacking,Rename Variable
0,TBStack-LR,GR,99.49,99.7,99.27,99.49,99.49,99.49,0,1,0.99,TreeStacking,Rename Variable
1,TBStack-LR,GR,99.44,99.73,99.15,99.44,99.44,99.44,0,1,0.99,TreeStacking,Rename Variable
2,TBStack-LR,GR,99.6,99.79,99.41,99.6,99.6,99.6,0,1,0.99,TreeStacking,Rename Variable
3,TBStack-LR,GR,99.56,99.62,99.49,99.56,99.56,99.56,0,1,0.99,TreeStacking,Rename Variable
4,TBStack-LR,GR,99.66,99.68,99.63,99.66,99.66,99.66,0,1,0.99,TreeStacking,Rename Variable
5,TBStack-LR,GR,99.22,99.71,98.72,99.21,99.22,99.22,0.01,1,0.99,TreeStacking,Rename Variable
6,TBStack-LR,GR,99.5,99.5,99.5,99.5,99.5,99.5,0,1,0.99,TreeStacking,Rename Variable
7,TBStack-LR,GR,99.65,99.67,99.63,99.65,99.65,99.65,0,1,0.99,TreeStacking,Rename Variable
8,TBStack-LR,GR,99.56,99.7,99.42,99.56,99.56,99.56,0,1,0.99,TreeStacking,Rename Variable
9,TBStack-LR,GR,99.62,99.69,99.54,99.62,99.62,99.62,0,1,0.99,TreeStacking,Rename Variable
10,TBStack-DT,GR,99.24,99.21,99.27,99.24,99.24,99.24,0.01,0.99,0.99,TreeStacking,Rename Variable
11,TBStack-DT,GR,99.14,99.47,98.8,99.13,99.14,99.14,0.01,0.99,0.99,TreeStacking,Rename Variable
12,TBStack-DT,GR,99.36,99.32,99.4,99.36,99.36,99.36,0.01,0.99,0.99,TreeStacking,Rename Variable
13,TBStack-DT,GR,99.35,99.28,99.43,99.35,99.35,99.35,0.01,0.99,0.99,TreeStacking,Rename Variable
14,TBStack-DT,GR,99.33,99.1,99.57,99.34,99.33,99.33,0.01,0.99,0.99,TreeStacking,Rename Variable
15,TBStack-DT,GR,99.16,99.49,98.83,99.16,99.16,99.16,0.01,0.99,0.99,TreeStacking,Rename Variable
16,TBStack-DT,GR,99.25,99.07,99.42,99.25,99.25,99.25,0.01,0.99,0.99,TreeStacking,Rename Variable
17,TBStack-DT,GR,99.43,99.33,99.53,99.43,99.43,99.43,0.01,0.99,0.99,TreeStacking,Rename Variable
18,TBStack-DT,GR,99.13,98.98,99.29,99.14,99.13,99.13,0.01,0.99,0.99,TreeStacking,Rename Variable
19,TBStack-DT,GR,99.24,99,99.48,99.24,99.24,99.24,0.01,0.99,0.99,TreeStacking,Rename Variable
0,Stack-LR,GR,85.94,85.54,86.49,86.01,85.94,85.94,0.1,0.93,0.75,Stacking,Replace Variable With Attribute
1,Stack-LR,GR,87.62,87.35,87.98,87.66,87.62,87.62,0.09,0.93,0.75,Stacking,Replace Variable With Attribute
2,Stack-LR,GR,86.83,86.83,86.83,86.83,86.83,86.83,0.1,0.93,0.75,Stacking,Replace Variable With Attribute
3,Stack-LR,GR,88.15,87.98,88.37,88.17,88.15,88.15,0.09,0.94,0.75,Stacking,Replace Variable With Attribute
4,Stack-LR,GR,87.28,87.45,87.07,87.26,87.28,87.28,0.1,0.93,0.75,Stacking,Replace Variable With Attribute
5,Stack-LR,GR,87.74,86.44,89.52,87.95,87.74,87.74,0.09,0.94,0.75,Stacking,Replace Variable With Attribute
6,Stack-LR,GR,86.18,87.57,84.33,85.92,86.18,86.17,0.1,0.93,0.75,Stacking,Replace Variable With Attribute
7,Stack-LR,GR,87.12,87.73,86.3,87.01,87.12,87.11,0.1,0.93,0.75,Stacking,Replace Variable With Attribute
8,Stack-LR,GR,89.3,88.54,90.29,89.41,89.3,89.3,0.08,0.95,0.75,Stacking,Replace Variable With Attribute
9,Stack-LR,GR,87.12,87.84,86.15,86.99,87.12,87.11,0.1,0.94,0.75,Stacking,Replace Variable With Attribute
10,Stack-DT,GR,81.03,81.05,81.01,81.03,81.03,81.03,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
11,Stack-DT,GR,79.66,81.19,77.21,79.15,79.66,79.65,0.2,0.8,0.62,Stacking,Replace Variable With Attribute
12,Stack-DT,GR,80.84,81.74,79.42,80.57,80.84,80.84,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
13,Stack-DT,GR,82.14,82.5,81.59,82.04,82.14,82.14,0.18,0.82,0.62,Stacking,Replace Variable With Attribute
14,Stack-DT,GR,81.15,82.05,79.76,80.89,81.15,81.15,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
15,Stack-DT,GR,82.31,83.2,80.96,82.07,82.31,82.3,0.18,0.82,0.62,Stacking,Replace Variable With Attribute
16,Stack-DT,GR,80.1,81.62,77.69,79.61,80.1,80.08,0.2,0.8,0.62,Stacking,Replace Variable With Attribute
17,Stack-DT,GR,81.27,83.1,78.51,80.74,81.27,81.26,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
18,Stack-DT,GR,80.58,81.96,78.41,80.15,80.58,80.57,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
19,Stack-DT,GR,81.25,82.47,79.38,80.89,81.25,81.24,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
0,TBStack-LR,GR,94.69,93.45,96.11,94.76,94.69,94.69,0.04,0.98,0.9,TreeStacking,Replace Variable With Attribute
1,TBStack-LR,GR,95.22,93.52,97.16,95.31,95.22,95.21,0.04,0.98,0.9,TreeStacking,Replace Variable With Attribute
2,TBStack-LR,GR,95.26,93.45,97.36,95.36,95.26,95.26,0.04,0.98,0.9,TreeStacking,Replace Variable With Attribute
3,TBStack-LR,GR,94.81,93.76,96.01,94.87,94.81,94.81,0.04,0.98,0.9,TreeStacking,Replace Variable With Attribute
4,TBStack-LR,GR,95,93.25,97.02,95.1,95,95,0.04,0.97,0.9,TreeStacking,Replace Variable With Attribute
5,TBStack-LR,GR,94.81,92.02,98.12,94.97,94.81,94.8,0.04,0.97,0.9,TreeStacking,Replace Variable With Attribute
6,TBStack-LR,GR,94.98,92.93,97.36,95.09,94.98,94.97,0.04,0.97,0.9,TreeStacking,Replace Variable With Attribute
7,TBStack-LR,GR,95.34,93.54,97.4,95.43,95.34,95.33,0.04,0.98,0.9,TreeStacking,Replace Variable With Attribute
8,TBStack-LR,GR,95.91,94.01,98.08,96,95.91,95.91,0.03,0.98,0.9,TreeStacking,Replace Variable With Attribute
9,TBStack-LR,GR,95.99,94.47,97.69,96.05,95.99,95.98,0.03,0.98,0.9,TreeStacking,Replace Variable With Attribute
10,TBStack-DT,GR,91.75,92.59,90.77,91.67,91.75,91.75,0.08,0.92,0.83,TreeStacking,Replace Variable With Attribute
11,TBStack-DT,GR,91.95,93.26,90.43,91.82,91.95,91.95,0.08,0.92,0.83,TreeStacking,Replace Variable With Attribute
12,TBStack-DT,GR,91.44,92.89,89.76,91.3,91.44,91.44,0.09,0.91,0.83,TreeStacking,Replace Variable With Attribute
13,TBStack-DT,GR,91.51,93.28,89.47,91.34,91.51,91.51,0.08,0.92,0.83,TreeStacking,Replace Variable With Attribute
14,TBStack-DT,GR,90.43,92.26,88.27,90.22,90.43,90.43,0.1,0.9,0.83,TreeStacking,Replace Variable With Attribute
15,TBStack-DT,GR,91.23,91.45,90.96,91.2,91.23,91.23,0.09,0.91,0.83,TreeStacking,Replace Variable With Attribute
16,TBStack-DT,GR,91.06,92.45,89.42,90.91,91.06,91.06,0.09,0.91,0.83,TreeStacking,Replace Variable With Attribute
17,TBStack-DT,GR,91.63,92.66,90.43,91.53,91.63,91.63,0.08,0.92,0.83,TreeStacking,Replace Variable With Attribute
18,TBStack-DT,GR,91.54,93.37,89.42,91.36,91.54,91.53,0.08,0.92,0.83,TreeStacking,Replace Variable With Attribute
19,TBStack-DT,GR,91.63,93.65,89.33,91.44,91.63,91.63,0.08,0.92,0.83,TreeStacking,Replace Variable With Attribute
