Unnamed: 0,Classifier_1,Classifier_2,Test,Stat,p-value,Null Hypo,Win,Lost,Dataset
78,KNN,Stack-DT,t-test,27.05131496877111,1,Accept,,,Parameterize Variable
79,KNN,TBStack-LR,t-test,27.05131496877111,1.010033152712959e-09,Reject,TBStack-LR,KNN,Parameterize Variable
80,KNN,TBStack-DT,t-test,27.05131496877111,1.430161633195323e-07,Reject,TBStack-DT,KNN,Parameterize Variable
85,Stack-LR,Stack-DT,t-test,27.05131496877111,4.110324694051947e-06,Reject,Stack-LR,Stack-DT,Parameterize Variable
86,Stack-LR,TBStack-LR,t-test,27.05131496877111,8.04420001707579e-08,Reject,TBStack-LR,Stack-LR,Parameterize Variable
87,Stack-LR,TBStack-DT,t-test,27.05131496877111,0.0076945,Reject,TBStack-DT,Stack-LR,Parameterize Variable
88,Stack-DT,TBStack-LR,t-test,27.05131496877111,9.072954048120655e-09,Reject,TBStack-LR,Stack-DT,Parameterize Variable
89,Stack-DT,TBStack-DT,t-test,27.05131496877111,7.950948137298304e-07,Reject,TBStack-DT,Stack-DT,Parameterize Variable
90,TBStack-LR,TBStack-DT,t-test,27.05131496877111,5.681948405762287e-08,Reject,TBStack-LR,TBStack-DT,Parameterize Variable
0,DT,LR,t-test,11.06621636868138,1.000792528266619e-12,Reject,DT,LR,Rename Parameter
1,DT,SVM,t-test,11.06621636868138,1.301000946488395e-12,Reject,DT,SVM,Rename Parameter
2,DT,MLP,t-test,11.06621636868138,3.019075921969131e-09,Reject,DT,MLP,Rename Parameter
3,DT,SGD,t-test,11.06621636868138,4.961960735513298e-13,Reject,DT,SGD,Rename Parameter
4,DT,NB(B),t-test,11.06621636868138,2.116508392266326e-13,Reject,DT,NB(B),Rename Parameter
5,DT,NB(G),t-test,11.06621636868138,2.771734125793142e-16,Reject,DT,NB(G),Rename Parameter
6,DT,NB(M),t-test,11.06621636868138,3.308628340279284e-13,Reject,DT,NB(M),Rename Parameter
7,DT,KNN,t-test,11.06621636868138,1.152889226398312e-10,Reject,DT,KNN,Rename Parameter
9,DT,Stack-LR,t-test,11.06621636868138,4.119040453549148e-07,Reject,Stack-LR,DT,Rename Parameter
10,DT,Stack-DT,t-test,11.06621636868138,4.543388330627154e-06,Reject,DT,Stack-DT,Rename Parameter
11,DT,TBStack-LR,t-test,11.06621636868138,3.476490450137881e-09,Reject,TBStack-LR,DT,Rename Parameter
12,DT,TBStack-DT,t-test,11.06621636868138,1.893273013082718e-09,Reject,TBStack-DT,DT,Rename Parameter
13,LR,SVM,t-test,11.06621636868138,0.2253122247918531,Accept,,,Rename Parameter
14,LR,MLP,t-test,11.06621636868138,2.384606516013916e-08,Reject,MLP,LR,Rename Parameter
15,LR,SGD,t-test,11.06621636868138,6.897821988317423e-06,Reject,LR,SGD,Rename Parameter
16,LR,NB(B),t-test,11.06621636868138,6.988508171904719e-08,Reject,LR,NB(B),Rename Parameter
17,LR,NB(G),t-test,11.06621636868138,4.676832503126818e-12,Reject,LR,NB(G),Rename Parameter
18,LR,NB(M),t-test,11.06621636868138,3.069498285101896e-09,Reject,LR,NB(M),Rename Parameter
19,LR,KNN,t-test,11.06621636868138,1.395111203403504e-11,Reject,KNN,LR,Rename Parameter
21,LR,Stack-LR,t-test,11.06621636868138,8.600308154377153e-13,Reject,Stack-LR,LR,Rename Parameter
22,LR,Stack-DT,t-test,11.06621636868138,5.335469030175925e-12,Reject,Stack-DT,LR,Rename Parameter
23,LR,TBStack-LR,t-test,11.06621636868138,3.730572198977845e-13,Reject,TBStack-LR,LR,Rename Parameter
24,LR,TBStack-DT,t-test,11.06621636868138,6.987772096095156e-13,Reject,TBStack-DT,LR,Rename Parameter
25,SVM,MLP,t-test,11.06621636868138,3.635880502404911e-08,Reject,MLP,SVM,Rename Parameter
26,SVM,SGD,t-test,11.06621636868138,2.26505302348904e-06,Reject,SVM,SGD,Rename Parameter
27,SVM,NB(B),t-test,11.06621636868138,5.489973515095478e-08,Reject,SVM,NB(B),Rename Parameter
28,SVM,NB(G),t-test,11.06621636868138,4.637623204682083e-12,Reject,SVM,NB(G),Rename Parameter
29,SVM,NB(M),t-test,11.06621636868138,2.373960089403769e-09,Reject,SVM,NB(M),Rename Parameter
30,SVM,KNN,t-test,11.06621636868138,2.500711954534311e-11,Reject,KNN,SVM,Rename Parameter
32,SVM,Stack-LR,t-test,11.06621636868138,1.115175488910926e-12,Reject,Stack-LR,SVM,Rename Parameter
33,SVM,Stack-DT,t-test,11.06621636868138,6.532275162971483e-12,Reject,Stack-DT,SVM,Rename Parameter
34,SVM,TBStack-LR,t-test,11.06621636868138,3.84352216099692e-13,Reject,TBStack-LR,SVM,Rename Parameter
35,SVM,TBStack-DT,t-test,11.06621636868138,7.158494075972486e-13,Reject,TBStack-DT,SVM,Rename Parameter
